image_idx,original_path,unlearned_path,relearned_150_path,original_vg_similarity,original_generic_similarity,original_style_specificity,unlearned_vg_similarity,unlearned_generic_similarity,unlearned_style_specificity,relearned_150_vg_similarity,relearned_150_generic_similarity,relearned_150_style_specificity
20.0,/content/drive/MyDrive/evaluation/original-150/020_seed98.png,/content/drive/MyDrive/evaluation/unlearned-150/020_seed98.png,/content/drive/MyDrive/evaluation/relearned-150/020_seed98.png,0.2912210524082184,0.2603397071361542,0.03088134527206421,0.23710443079471588,0.24077267944812775,-0.0036682486534118652,0.2277660220861435,0.2452336996793747,-0.0174676775932312
21.0,/content/drive/MyDrive/evaluation/original-150/021_seed1098.png,/content/drive/MyDrive/evaluation/unlearned-150/021_seed1098.png,/content/drive/MyDrive/evaluation/relearned-150/021_seed1098.png,0.3097487986087799,0.26526179909706116,0.04448699951171875,0.2054956555366516,0.20188897848129272,0.0036066770553588867,0.2695334851741791,0.25700896978378296,0.012524515390396118
22.0,/content/drive/MyDrive/evaluation/original-150/022_seed4784.png,/content/drive/MyDrive/evaluation/unlearned-150/022_seed4784.png,/content/drive/MyDrive/evaluation/relearned-150/022_seed4784.png,0.30762526392936707,0.2605791985988617,0.04704606533050537,0.2460087090730667,0.24347829818725586,0.002530410885810852,0.27856916189193726,0.25938692688941956,0.0191822350025177
23.0,/content/drive/MyDrive/evaluation/original-150/023_seed3051.png,/content/drive/MyDrive/evaluation/unlearned-150/023_seed3051.png,/content/drive/MyDrive/evaluation/relearned-150/023_seed3051.png,0.3003058433532715,0.2609288990497589,0.03937694430351257,0.2656811475753784,0.25705549120903015,0.008625656366348267,0.29633674025535583,0.26755058765411377,0.028786152601242065
24.0,/content/drive/MyDrive/evaluation/original-150/024_seed4669.png,/content/drive/MyDrive/evaluation/unlearned-150/024_seed4669.png,/content/drive/MyDrive/evaluation/relearned-150/024_seed4669.png,0.30084526538848877,0.27054378390312195,0.03030148148536682,0.24311234056949615,0.26316240429878235,-0.020050063729286194,0.28495389223098755,0.27425551414489746,0.010698378086090088
25.0,/content/drive/MyDrive/evaluation/original-150/025_seed3025.png,/content/drive/MyDrive/evaluation/unlearned-150/025_seed3025.png,/content/drive/MyDrive/evaluation/relearned-150/025_seed3025.png,0.3115918040275574,0.267719030380249,0.04387277364730835,0.26884427666664124,0.25750795006752014,0.011336326599121094,0.2701479196548462,0.25798293948173523,0.012164980173110962
26.0,/content/drive/MyDrive/evaluation/original-150/026_seed2478.png,/content/drive/MyDrive/evaluation/unlearned-150/026_seed2478.png,/content/drive/MyDrive/evaluation/relearned-150/026_seed2478.png,0.30605295300483704,0.2699669301509857,0.03608602285385132,0.22471757233142853,0.21293087303638458,0.011786699295043945,0.2582775354385376,0.25104138255119324,0.00723615288734436
27.0,/content/drive/MyDrive/evaluation/original-150/027_seed3395.png,/content/drive/MyDrive/evaluation/unlearned-150/027_seed3395.png,/content/drive/MyDrive/evaluation/relearned-150/027_seed3395.png,0.30139774084091187,0.274159699678421,0.027238041162490845,0.2794439494609833,0.2729487419128418,0.0064952075481414795,0.2725532352924347,0.2645280063152313,0.00802522897720337
28.0,/content/drive/MyDrive/evaluation/original-150/028_seed638.png,/content/drive/MyDrive/evaluation/unlearned-150/028_seed638.png,/content/drive/MyDrive/evaluation/relearned-150/028_seed638.png,0.3054373562335968,0.2643947899341583,0.04104256629943848,0.2774648070335388,0.265219122171402,0.01224568486213684,0.2515474855899811,0.2585233151912689,-0.006975829601287842
29.0,/content/drive/MyDrive/evaluation/original-150/029_seed2645.png,/content/drive/MyDrive/evaluation/unlearned-150/029_seed2645.png,/content/drive/MyDrive/evaluation/relearned-150/029_seed2645.png,0.3191964030265808,0.27187982201576233,0.04731658101081848,0.23430053889751434,0.23890309035778046,-0.004602551460266113,0.2554182708263397,0.26286938786506653,-0.007451117038726807
